Year,Fuel,Vehicle_Category,Vehicles_Registered
2006,CNG ONLY,2WIC,0
2006,CNG ONLY,2WN,0
2006,CNG ONLY,2WT,0
2006,CNG ONLY,3WIC,0
2006,CNG ONLY,3WN,0
2006,CNG ONLY,3WT,0
2006,CNG ONLY,4WIC,0
2006,CNG ONLY,HGV,0
2006,CNG ONLY,HMV,0
2006,CNG ONLY,HPV,0
2006,CNG ONLY,LGV,0
2006,CNG ONLY,LMV,1
2006,CNG ONLY,LPV,0
2006,CNG ONLY,MGV,0
2006,CNG ONLY,MMV,0
2006,CNG ONLY,MPV,0
2006,CNG ONLY,OTH,0
2006,DIESEL,2WIC,0
2006,DIESEL,2WN,1301
2006,DIESEL,2WT,0
2006,DIESEL,3WIC,0
2006,DIESEL,3WN,122
2006,DIESEL,3WT,9463
2006,DIESEL,4WIC,0
2006,DIESEL,HGV,12116
2006,DIESEL,HMV,789
2006,DIESEL,HPV,4143
2006,DIESEL,LGV,27582
2006,DIESEL,LMV,37010
2006,DIESEL,LPV,8094
2006,DIESEL,MGV,4652
2006,DIESEL,MMV,515
2006,DIESEL,MPV,593
2006,DIESEL,OTH,1322
2006,DIESEL/HYBRID,2WIC,0
2006,DIESEL/HYBRID,2WN,0
2006,DIESEL/HYBRID,2WT,0
2006,DIESEL/HYBRID,3WIC,0
2006,DIESEL/HYBRID,3WN,0
2006,DIESEL/HYBRID,3WT,0
2006,DIESEL/HYBRID,4WIC,0
2006,DIESEL/HYBRID,HGV,0
2006,DIESEL/HYBRID,HMV,0
2006,DIESEL/HYBRID,HPV,0
2006,DIESEL/HYBRID,LGV,0
2006,DIESEL/HYBRID,LMV,1
2006,DIESEL/HYBRID,LPV,1
2006,DIESEL/HYBRID,MGV,0
2006,DIESEL/HYBRID,MMV,0
2006,DIESEL/HYBRID,MPV,0
2006,DIESEL/HYBRID,OTH,0
2006,ELECTRIC(BOV),2WIC,0
2006,ELECTRIC(BOV),2WN,161
2006,ELECTRIC(BOV),2WT,0
2006,ELECTRIC(BOV),3WIC,0
2006,ELECTRIC(BOV),3WN,0
2006,ELECTRIC(BOV),3WT,7
2006,ELECTRIC(BOV),4WIC,0
2006,ELECTRIC(BOV),HGV,0
2006,ELECTRIC(BOV),HMV,6
2006,ELECTRIC(BOV),HPV,0
2006,ELECTRIC(BOV),LGV,50
2006,ELECTRIC(BOV),LMV,68
2006,ELECTRIC(BOV),LPV,2
2006,ELECTRIC(BOV),MGV,1
2006,ELECTRIC(BOV),MMV,0
2006,ELECTRIC(BOV),MPV,0
2006,ELECTRIC(BOV),OTH,3
2006,ETHANOL,2WIC,0
2006,ETHANOL,2WN,0
2006,ETHANOL,2WT,0
2006,ETHANOL,3WIC,0
2006,ETHANOL,3WN,0
2006,ETHANOL,3WT,0
2006,ETHANOL,4WIC,0
2006,ETHANOL,HGV,0
2006,ETHANOL,HMV,0
2006,ETHANOL,HPV,0
2006,ETHANOL,LGV,0
2006,ETHANOL,LMV,1
2006,ETHANOL,LPV,0
2006,ETHANOL,MGV,0
2006,ETHANOL,MMV,0
2006,ETHANOL,MPV,0
2006,ETHANOL,OTH,0
2006,LPG ONLY,2WIC,0
2006,LPG ONLY,2WN,26
2006,LPG ONLY,2WT,0
2006,LPG ONLY,3WIC,0
2006,LPG ONLY,3WN,2
2006,LPG ONLY,3WT,39
2006,LPG ONLY,4WIC,0
2006,LPG ONLY,HGV,0
2006,LPG ONLY,HMV,3
2006,LPG ONLY,HPV,0
2006,LPG ONLY,LGV,19
2006,LPG ONLY,LMV,107
2006,LPG ONLY,LPV,21
2006,LPG ONLY,MGV,0
2006,LPG ONLY,MMV,0
2006,LPG ONLY,MPV,0
2006,LPG ONLY,OTH,0
2006,NOT APPLICABLE,2WIC,0
2006,NOT APPLICABLE,2WN,355
2006,NOT APPLICABLE,2WT,0
2006,NOT APPLICABLE,3WIC,0
2006,NOT APPLICABLE,3WN,0
2006,NOT APPLICABLE,3WT,6
2006,NOT APPLICABLE,4WIC,0
2006,NOT APPLICABLE,HGV,19
2006,NOT APPLICABLE,HMV,211
2006,NOT APPLICABLE,HPV,1
2006,NOT APPLICABLE,LGV,467
2006,NOT APPLICABLE,LMV,1016
2006,NOT APPLICABLE,LPV,14
2006,NOT APPLICABLE,MGV,25
2006,NOT APPLICABLE,MMV,36
2006,NOT APPLICABLE,MPV,4
2006,NOT APPLICABLE,OTH,45
2006,PETROL,2WIC,22
2006,PETROL,2WN,348559
2006,PETROL,2WT,2
2006,PETROL,3WIC,0
2006,PETROL,3WN,207
2006,PETROL,3WT,5366
2006,PETROL,4WIC,7
2006,PETROL,HGV,53
2006,PETROL,HMV,7
2006,PETROL,HPV,18
2006,PETROL,LGV,1146
2006,PETROL,LMV,35554
2006,PETROL,LPV,990
2006,PETROL,MGV,30
2006,PETROL,MMV,15
2006,PETROL,MPV,2
2006,PETROL,OTH,24
2006,PETROL/CNG,2WIC,0
2006,PETROL/CNG,2WN,0
2006,PETROL/CNG,2WT,0
2006,PETROL/CNG,3WIC,0
2006,PETROL/CNG,3WN,0
2006,PETROL/CNG,3WT,0
